"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    16 to 19 years","alaska",2010,40430,0.458,0.308,0.306
"    16 to 19 years","alaska",2011,39062,0.41,0.311,0.204
"    16 to 19 years","alaska",2012,39882,0.462,0.366,0.177
"    16 to 19 years","alaska",2013,42317,0.442,0.317,0.248
"    16 to 19 years","alaska",2014,41183,0.406,0.298,0.207
"    16 to 19 years","alaska",2015,39151,0.453,0.342,0.214
"    16 to 19 years","alaska",2016,39247,0.403,0.285,0.246
"    16 to 19 years","alaska",2017,37315,0.433,0.341,0.168
"        16 to 19 years","alaska",2018,38420,0.471,0.347,0.202
"        16 to 19 years","alaska",2019,38005,0.427,0.328,0.165
