"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    16 to 19 years","arizona",2010,371927,0.374,0.253,0.317
"    16 to 19 years","arizona",2011,370492,0.364,0.249,0.312
"    16 to 19 years","arizona",2012,357674,0.367,0.256,0.291
"    16 to 19 years","arizona",2013,364600,0.365,0.268,0.258
"    16 to 19 years","arizona",2014,366121,0.371,0.28,0.238
"    16 to 19 years","arizona",2015,376032,0.38,0.291,0.23
"    16 to 19 years","arizona",2016,379197,0.404,0.317,0.209
"    16 to 19 years","arizona",2017,384769,0.412,0.325,0.208
"        16 to 19 years","arizona",2018,384050,0.397,0.32,0.185
"        16 to 19 years","arizona",2019,385068,0.398,0.324,0.18
