"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    16 to 19 years","arkansas",2010,171325,0.395,0.27,0.311
"    16 to 19 years","arkansas",2011,155124,0.358,0.25,0.302
"    16 to 19 years","arkansas",2012,156393,0.381,0.269,0.291
"    16 to 19 years","arkansas",2013,158421,0.36,0.271,0.247
"    16 to 19 years","arkansas",2014,166422,0.342,0.268,0.217
"    16 to 19 years","arkansas",2015,164521,0.369,0.294,0.201
"    16 to 19 years","arkansas",2016,172608,0.343,0.285,0.17
"    16 to 19 years","arkansas",2017,166700,0.379,0.303,0.196
"        16 to 19 years","arkansas",2018,167921,0.357,0.289,0.185
"        16 to 19 years","arkansas",2019,166933,0.358,0.283,0.207
