"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    16 to 19 years","california",2010,2279692,0.308,0.192,0.366
"    16 to 19 years","california",2011,2219870,0.297,0.181,0.379
"    16 to 19 years","california",2012,2187805,0.293,0.186,0.355
"    16 to 19 years","california",2013,2140046,0.289,0.19,0.332
"    16 to 19 years","california",2014,2134326,0.289,0.2,0.294
"    16 to 19 years","california",2015,2098667,0.292,0.212,0.259
"    16 to 19 years","california",2016,2080169,0.303,0.232,0.219
"    16 to 19 years","california",2017,2070389,0.303,0.233,0.213
"        16 to 19 years","california",2018,2049111,0.303,0.237,0.2
"        16 to 19 years","california",2019,2041123,0.31,0.248,0.184
