"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    16 to 19 years","colorado",2010,277442,0.44,0.307,0.281
"    16 to 19 years","colorado",2011,272261,0.434,0.299,0.291
"    16 to 19 years","colorado",2012,275489,0.427,0.309,0.265
"    16 to 19 years","colorado",2013,271685,0.419,0.3,0.265
"    16 to 19 years","colorado",2014,269002,0.441,0.35,0.184
"    16 to 19 years","colorado",2015,279512,0.432,0.358,0.156
"    16 to 19 years","colorado",2016,281912,0.434,0.355,0.162
"    16 to 19 years","colorado",2017,291818,0.465,0.393,0.137
"        16 to 19 years","colorado",2018,295740,0.477,0.396,0.149
"        16 to 19 years","colorado",2019,290499,0.469,0.402,0.124
