"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    16 to 19 years","connecticut",2010,200450,0.409,0.301,0.254
"    16 to 19 years","connecticut",2011,203780,0.433,0.307,0.286
"    16 to 19 years","connecticut",2012,205157,0.413,0.308,0.244
"    16 to 19 years","connecticut",2013,206145,0.435,0.315,0.264
"    16 to 19 years","connecticut",2014,203228,0.419,0.319,0.229
"    16 to 19 years","connecticut",2015,201332,0.411,0.323,0.199
"    16 to 19 years","connecticut",2016,202468,0.425,0.327,0.22
"    16 to 19 years","connecticut",2017,195311,0.396,0.319,0.179
"        16 to 19 years","connecticut",2018,200264,0.387,0.313,0.179
"        16 to 19 years","connecticut",2019,190495,0.402,0.332,0.16
