"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    16 to 19 years","delaware",2010,53863,0.341,0.252,0.256
"    16 to 19 years","delaware",2011,50755,0.348,0.245,0.294
"    16 to 19 years","delaware",2012,50133,0.358,0.283,0.209
"    16 to 19 years","delaware",2013,45246,0.372,0.292,0.206
"    16 to 19 years","delaware",2014,49978,0.382,0.297,0.223
"    16 to 19 years","delaware",2015,49435,0.389,0.31,0.203
"    16 to 19 years","delaware",2016,49060,0.313,0.262,0.16
"    16 to 19 years","delaware",2017,49378,0.335,0.278,0.163
"        16 to 19 years","delaware",2018,49046,0.435,0.366,0.154
"        16 to 19 years","delaware",2019,47443,0.428,0.356,0.159
