"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    16 to 19 years","florida",2010,1003074,0.339,0.217,0.349
"    16 to 19 years","florida",2011,994565,0.338,0.22,0.34
"    16 to 19 years","florida",2012,960979,0.332,0.217,0.337
"    16 to 19 years","florida",2013,966362,0.319,0.221,0.292
"    16 to 19 years","florida",2014,959995,0.313,0.228,0.262
"    16 to 19 years","florida",2015,961580,0.324,0.247,0.227
"    16 to 19 years","florida",2016,979649,0.329,0.261,0.197
"    16 to 19 years","florida",2017,994511,0.331,0.269,0.178
"        16 to 19 years","florida",2018,1004065,0.353,0.284,0.188
"        16 to 19 years","florida",2019,968969,0.346,0.288,0.156
