"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    16 to 19 years","georgia",2010,579471,0.337,0.198,0.4
"    16 to 19 years","georgia",2011,587795,0.338,0.208,0.368
"    16 to 19 years","georgia",2012,573076,0.338,0.216,0.34
"    16 to 19 years","georgia",2013,582016,0.333,0.22,0.329
"    16 to 19 years","georgia",2014,578399,0.33,0.237,0.26
"    16 to 19 years","georgia",2015,586136,0.332,0.245,0.245
"    16 to 19 years","georgia",2016,588925,0.363,0.287,0.189
"    16 to 19 years","georgia",2017,590725,0.355,0.28,0.196
"        16 to 19 years","georgia",2018,614493,0.343,0.278,0.173
"        16 to 19 years","georgia",2019,599647,0.371,0.306,0.161
