"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    16 to 19 years","hawaii",2010,68631,0.34,0.225,0.28
"    16 to 19 years","hawaii",2011,64083,0.349,0.237,0.281
"    16 to 19 years","hawaii",2012,67439,0.381,0.276,0.227
"    16 to 19 years","hawaii",2013,63512,0.361,0.24,0.281
"    16 to 19 years","hawaii",2014,65157,0.36,0.262,0.219
"    16 to 19 years","hawaii",2015,62485,0.37,0.277,0.143
"    16 to 19 years","hawaii",2016,62345,0.367,0.282,0.163
"    16 to 19 years","hawaii",2017,62281,0.381,0.298,0.147
"        16 to 19 years","hawaii",2018,61572,0.415,0.34,0.097
"        16 to 19 years","hawaii",2019,61801,0.415,0.282,0.277
