"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    16 to 19 years","idaho",2010,92169,0.411,0.292,0.29
"    16 to 19 years","idaho",2011,91421,0.451,0.307,0.318
"    16 to 19 years","idaho",2012,91103,0.463,0.359,0.223
"    16 to 19 years","idaho",2013,87967,0.42,0.31,0.26
"    16 to 19 years","idaho",2014,94461,0.42,0.353,0.158
"    16 to 19 years","idaho",2015,93767,0.468,0.371,0.205
"    16 to 19 years","idaho",2016,97297,0.451,0.383,0.149
"    16 to 19 years","idaho",2017,105490,0.508,0.451,0.111
"        16 to 19 years","idaho",2018,98140,0.448,0.381,0.146
"        16 to 19 years","idaho",2019,95606,0.499,0.435,0.127
