"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    16 to 19 years","illinois",2010,744294,0.394,0.27,0.313
"    16 to 19 years","illinois",2011,738248,0.384,0.255,0.324
"    16 to 19 years","illinois",2012,717636,0.387,0.263,0.315
"    16 to 19 years","illinois",2013,702948,0.39,0.272,0.293
"    16 to 19 years","illinois",2014,699585,0.392,0.288,0.255
"    16 to 19 years","illinois",2015,684259,0.393,0.299,0.229
"    16 to 19 years","illinois",2016,683693,0.396,0.311,0.203
"    16 to 19 years","illinois",2017,681917,0.404,0.323,0.191
"        16 to 19 years","illinois",2018,670902,0.408,0.335,0.171
"        16 to 19 years","illinois",2019,660996,0.409,0.345,0.146
