"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    16 to 19 years","indiana",2010,384969,0.384,0.282,0.266
"    16 to 19 years","indiana",2011,381863,0.371,0.271,0.267
"    16 to 19 years","indiana",2012,370305,0.416,0.31,0.255
"    16 to 19 years","indiana",2013,362073,0.404,0.317,0.214
"    16 to 19 years","indiana",2014,371143,0.416,0.322,0.224
"    16 to 19 years","indiana",2015,367004,0.436,0.363,0.168
"    16 to 19 years","indiana",2016,372618,0.42,0.353,0.159
"    16 to 19 years","indiana",2017,374354,0.433,0.363,0.161
"        16 to 19 years","indiana",2018,369821,0.448,0.386,0.137
"        16 to 19 years","indiana",2019,376598,0.446,0.391,0.122
