"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    16 to 19 years","iowa",2010,180010,0.513,0.402,0.217
"    16 to 19 years","iowa",2011,176920,0.494,0.403,0.185
"    16 to 19 years","iowa",2012,168633,0.522,0.446,0.145
"    16 to 19 years","iowa",2013,173906,0.529,0.448,0.154
"    16 to 19 years","iowa",2014,178132,0.508,0.443,0.129
"    16 to 19 years","iowa",2015,177447,0.536,0.459,0.143
"    16 to 19 years","iowa",2016,179256,0.54,0.477,0.115
"    16 to 19 years","iowa",2017,180302,0.534,0.472,0.116
"        16 to 19 years","iowa",2018,181653,0.525,0.461,0.121
"        16 to 19 years","iowa",2019,176688,0.527,0.454,0.137
