"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    16 to 19 years","kansas",2010,169562,0.465,0.368,0.207
"    16 to 19 years","kansas",2011,164758,0.475,0.369,0.217
"    16 to 19 years","kansas",2012,169012,0.479,0.375,0.207
"    16 to 19 years","kansas",2013,166177,0.464,0.38,0.18
"    16 to 19 years","kansas",2014,164720,0.474,0.386,0.178
"    16 to 19 years","kansas",2015,165793,0.489,0.412,0.148
"    16 to 19 years","kansas",2016,168560,0.466,0.393,0.148
"    16 to 19 years","kansas",2017,163629,0.503,0.417,0.162
"        16 to 19 years","kansas",2018,164235,0.499,0.427,0.138
"        16 to 19 years","kansas",2019,161528,0.509,0.439,0.127
