"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    16 to 19 years","kentucky",2010,239984,0.461,0.308,0.288
"    16 to 19 years","kentucky",2011,237159,0.409,0.296,0.272
"    16 to 19 years","kentucky",2012,229354,0.428,0.302,0.29
"    16 to 19 years","kentucky",2013,232886,0.41,0.31,0.235
"    16 to 19 years","kentucky",2014,232224,0.424,0.332,0.203
"    16 to 19 years","kentucky",2015,239536,0.424,0.334,0.205
"    16 to 19 years","kentucky",2016,247992,0.441,0.352,0.198
"    16 to 19 years","kentucky",2017,241749,0.437,0.367,0.15
"        16 to 19 years","kentucky",2018,231896,0.448,0.376,0.156
"        16 to 19 years","kentucky",2019,239043,0.449,0.385,0.131
