"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    16 to 19 years","maine",2010,70696,0.463,0.355,0.234
"    16 to 19 years","maine",2011,68565,0.465,0.365,0.213
"    16 to 19 years","maine",2012,69937,0.478,0.383,0.197
"    16 to 19 years","maine",2013,66039,0.472,0.378,0.199
"    16 to 19 years","maine",2014,64287,0.485,0.416,0.142
"    16 to 19 years","maine",2015,63670,0.5,0.408,0.183
"    16 to 19 years","maine",2016,67077,0.483,0.407,0.158
"    16 to 19 years","maine",2017,68179,0.499,0.436,0.126
"        16 to 19 years","maine",2018,62979,0.526,0.449,0.144
"        16 to 19 years","maine",2019,62722,0.541,0.48,0.113
