"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    16 to 19 years","maryland",2010,330923,0.399,0.278,0.293
"    16 to 19 years","maryland",2011,328017,0.39,0.282,0.269
"    16 to 19 years","maryland",2012,317897,0.39,0.286,0.259
"    16 to 19 years","maryland",2013,316056,0.383,0.285,0.244
"    16 to 19 years","maryland",2014,307602,0.368,0.278,0.222
"    16 to 19 years","maryland",2015,311675,0.365,0.294,0.175
"    16 to 19 years","maryland",2016,302959,0.383,0.308,0.183
"    16 to 19 years","maryland",2017,300720,0.388,0.32,0.174
"        16 to 19 years","maryland",2018,301443,0.375,0.306,0.173
"        16 to 19 years","maryland",2019,306550,0.381,0.316,0.159
