"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    16 to 19 years","massachusetts",2010,376945,0.428,0.31,0.276
"    16 to 19 years","massachusetts",2011,381941,0.44,0.325,0.26
"    16 to 19 years","massachusetts",2012,387346,0.441,0.342,0.226
"    16 to 19 years","massachusetts",2013,380565,0.432,0.338,0.218
"    16 to 19 years","massachusetts",2014,373520,0.439,0.358,0.184
"    16 to 19 years","massachusetts",2015,377380,0.447,0.372,0.166
"    16 to 19 years","massachusetts",2016,378651,0.432,0.358,0.17
"    16 to 19 years","massachusetts",2017,382024,0.414,0.354,0.146
"        16 to 19 years","massachusetts",2018,377956,0.415,0.345,0.168
"        16 to 19 years","massachusetts",2019,372338,0.431,0.378,0.121
