"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    16 to 19 years","minnesota",2010,295326,0.495,0.382,0.228
"    16 to 19 years","minnesota",2011,296038,0.512,0.406,0.208
"    16 to 19 years","minnesota",2012,288309,0.517,0.422,0.183
"    16 to 19 years","minnesota",2013,288046,0.512,0.432,0.156
"    16 to 19 years","minnesota",2014,285864,0.534,0.458,0.142
"    16 to 19 years","minnesota",2015,285247,0.53,0.467,0.118
"    16 to 19 years","minnesota",2016,285185,0.519,0.457,0.12
"    16 to 19 years","minnesota",2017,291406,0.528,0.463,0.121
"        16 to 19 years","minnesota",2018,283170,0.525,0.478,0.089
"        16 to 19 years","minnesota",2019,286870,0.546,0.488,0.104
