"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    16 to 19 years","missouri",2010,344278,0.438,0.32,0.252
"    16 to 19 years","missouri",2011,336492,0.448,0.323,0.257
"    16 to 19 years","missouri",2012,330339,0.444,0.323,0.25
"    16 to 19 years","missouri",2013,317309,0.458,0.354,0.203
"    16 to 19 years","missouri",2014,319919,0.445,0.358,0.176
"    16 to 19 years","missouri",2015,330449,0.441,0.363,0.158
"    16 to 19 years","missouri",2016,337772,0.467,0.388,0.135
"    16 to 19 years","missouri",2017,327778,0.457,0.38,0.145
"        16 to 19 years","missouri",2018,317818,0.44,0.382,0.116
"        16 to 19 years","missouri",2019,316881,0.456,0.386,0.127
