"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    16 to 19 years","montana",2010,56383,0.416,0.307,0.259
"    16 to 19 years","montana",2011,52462,0.472,0.365,0.224
"    16 to 19 years","montana",2012,51368,0.433,0.346,0.191
"    16 to 19 years","montana",2013,54367,0.497,0.405,0.185
"    16 to 19 years","montana",2014,52521,0.469,0.411,0.123
"    16 to 19 years","montana",2015,52229,0.397,0.352,0.111
"    16 to 19 years","montana",2016,52431,0.451,0.379,0.157
"    16 to 19 years","montana",2017,52123,0.457,0.424,0.069
"        16 to 19 years","montana",2018,54285,0.479,0.421,0.113
"        16 to 19 years","montana",2019,59093,0.509,0.436,0.142
