"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    16 to 19 years","nebraska",2010,104280,0.508,0.409,0.195
"    16 to 19 years","nebraska",2011,105902,0.515,0.408,0.208
"    16 to 19 years","nebraska",2012,103261,0.536,0.437,0.185
"    16 to 19 years","nebraska",2013,106433,0.536,0.46,0.14
"    16 to 19 years","nebraska",2014,103876,0.511,0.432,0.152
"    16 to 19 years","nebraska",2015,104725,0.513,0.445,0.133
"    16 to 19 years","nebraska",2016,105017,0.525,0.459,0.124
"    16 to 19 years","nebraska",2017,104304,0.533,0.45,0.154
"        16 to 19 years","nebraska",2018,107316,0.535,0.458,0.139
"        16 to 19 years","nebraska",2019,104802,0.509,0.437,0.139
