"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    16 to 19 years","nevada",2010,149959,0.366,0.238,0.346
"    16 to 19 years","nevada",2011,140884,0.335,0.216,0.351
"    16 to 19 years","nevada",2012,138632,0.337,0.233,0.306
"    16 to 19 years","nevada",2013,144821,0.384,0.264,0.309
"    16 to 19 years","nevada",2014,142232,0.365,0.27,0.256
"    16 to 19 years","nevada",2015,135475,0.341,0.276,0.186
"    16 to 19 years","nevada",2016,143337,0.354,0.287,0.188
"    16 to 19 years","nevada",2017,141672,0.368,0.289,0.211
"        16 to 19 years","nevada",2018,144040,0.395,0.322,0.181
"        16 to 19 years","nevada",2019,145916,0.409,0.325,0.195
