"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    16 to 19 years","new hampshire",2010,74572,0.459,0.359,0.217
"    16 to 19 years","new hampshire",2011,74354,0.501,0.391,0.216
"    16 to 19 years","new hampshire",2012,74893,0.472,0.36,0.235
"    16 to 19 years","new hampshire",2013,74762,0.499,0.397,0.204
"    16 to 19 years","new hampshire",2014,75721,0.486,0.415,0.145
"    16 to 19 years","new hampshire",2015,76236,0.508,0.436,0.133
"    16 to 19 years","new hampshire",2016,71829,0.495,0.446,0.099
"    16 to 19 years","new hampshire",2017,71613,0.509,0.441,0.131
"        16 to 19 years","new hampshire",2018,73720,0.52,0.47,0.094
"        16 to 19 years","new hampshire",2019,72902,0.478,0.434,0.087
