"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    16 to 19 years","new jersey",2010,474393,0.335,0.245,0.266
"    16 to 19 years","new jersey",2011,471162,0.341,0.238,0.301
"    16 to 19 years","new jersey",2012,468739,0.357,0.259,0.269
"    16 to 19 years","new jersey",2013,460541,0.339,0.252,0.253
"    16 to 19 years","new jersey",2014,462323,0.327,0.253,0.224
"    16 to 19 years","new jersey",2015,456833,0.306,0.239,0.209
"    16 to 19 years","new jersey",2016,455781,0.323,0.26,0.19
"    16 to 19 years","new jersey",2017,463752,0.31,0.257,0.167
"        16 to 19 years","new jersey",2018,440052,0.322,0.271,0.156
"        16 to 19 years","new jersey",2019,441169,0.348,0.292,0.156
