"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    16 to 19 years","new mexico",2010,121419,0.33,0.254,0.227
"    16 to 19 years","new mexico",2011,116758,0.416,0.276,0.332
"    16 to 19 years","new mexico",2012,123668,0.367,0.23,0.369
"    16 to 19 years","new mexico",2013,118458,0.406,0.273,0.317
"    16 to 19 years","new mexico",2014,114461,0.394,0.289,0.256
"    16 to 19 years","new mexico",2015,114250,0.37,0.284,0.222
"    16 to 19 years","new mexico",2016,118724,0.379,0.302,0.2
"    16 to 19 years","new mexico",2017,119112,0.366,0.302,0.162
"        16 to 19 years","new mexico",2018,118434,0.346,0.282,0.178
"        16 to 19 years","new mexico",2019,114480,0.388,0.326,0.142
