"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    16 to 19 years","new york",2010,1111689,0.312,0.223,0.281
"    16 to 19 years","new york",2011,1083744,0.311,0.217,0.299
"    16 to 19 years","new york",2012,1073785,0.317,0.224,0.29
"    16 to 19 years","new york",2013,1048109,0.314,0.231,0.26
"    16 to 19 years","new york",2014,1022113,0.308,0.233,0.239
"    16 to 19 years","new york",2015,1009692,0.303,0.235,0.223
"    16 to 19 years","new york",2016,1008553,0.31,0.246,0.203
"    16 to 19 years","new york",2017,1004975,0.308,0.251,0.181
"        16 to 19 years","new york",2018,978617,0.3,0.244,0.184
"        16 to 19 years","new york",2019,965479,0.314,0.266,0.149
