"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    16 to 19 years","north carolina",2010,539299,0.376,0.245,0.334
"    16 to 19 years","north carolina",2011,540206,0.36,0.233,0.339
"    16 to 19 years","north carolina",2012,540547,0.388,0.255,0.325
"    16 to 19 years","north carolina",2013,524057,0.355,0.243,0.301
"    16 to 19 years","north carolina",2014,533643,0.386,0.274,0.274
"    16 to 19 years","north carolina",2015,542801,0.387,0.287,0.24
"    16 to 19 years","north carolina",2016,553962,0.387,0.296,0.22
"    16 to 19 years","north carolina",2017,566476,0.387,0.302,0.186
"        16 to 19 years","north carolina",2018,568095,0.407,0.323,0.176
"        16 to 19 years","north carolina",2019,581014,0.406,0.328,0.163
