"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    16 to 19 years","north dakota",2010,38945,0.523,0.43,0.158
"    16 to 19 years","north dakota",2011,39772,0.525,0.466,0.106
"    16 to 19 years","north dakota",2012,40176,0.509,0.443,0.114
"    16 to 19 years","north dakota",2013,38900,0.533,0.482,0.067
"    16 to 19 years","north dakota",2014,42111,0.478,0.43,0.083
"    16 to 19 years","north dakota",2015,41027,0.493,0.451,0.071
"    16 to 19 years","north dakota",2016,40441,0.557,0.484,0.115
"    16 to 19 years","north dakota",2017,39403,0.532,0.477,0.09
"        16 to 19 years","north dakota",2018,38505,0.523,0.465,0.108
"        16 to 19 years","north dakota",2019,37788,0.515,0.457,0.098
