"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    16 to 19 years","ohio",2010,654412,0.428,0.292,0.318
"    16 to 19 years","ohio",2011,642437,0.432,0.301,0.304
"    16 to 19 years","ohio",2012,637449,0.441,0.321,0.271
"    16 to 19 years","ohio",2013,626207,0.442,0.331,0.252
"    16 to 19 years","ohio",2014,621982,0.462,0.357,0.228
"    16 to 19 years","ohio",2015,623526,0.454,0.367,0.19
"    16 to 19 years","ohio",2016,618755,0.465,0.384,0.172
"    16 to 19 years","ohio",2017,627346,0.455,0.378,0.167
"        16 to 19 years","ohio",2018,627936,0.453,0.38,0.162
"        16 to 19 years","ohio",2019,614060,0.487,0.416,0.144
