"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    16 to 19 years","oklahoma",2010,214012,0.445,0.348,0.204
"    16 to 19 years","oklahoma",2011,214070,0.418,0.319,0.227
"    16 to 19 years","oklahoma",2012,207240,0.407,0.309,0.225
"    16 to 19 years","oklahoma",2013,210733,0.415,0.329,0.18
"    16 to 19 years","oklahoma",2014,215552,0.407,0.315,0.194
"    16 to 19 years","oklahoma",2015,214916,0.417,0.329,0.182
"    16 to 19 years","oklahoma",2016,212124,0.414,0.337,0.16
"    16 to 19 years","oklahoma",2017,219093,0.415,0.328,0.188
"        16 to 19 years","oklahoma",2018,215136,0.439,0.366,0.142
"        16 to 19 years","oklahoma",2019,221309,0.395,0.333,0.134
