"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    16 to 19 years","oregon",2010,201726,0.388,0.259,0.333
"    16 to 19 years","oregon",2011,201199,0.373,0.25,0.325
"    16 to 19 years","oregon",2012,198801,0.388,0.266,0.314
"    16 to 19 years","oregon",2013,200802,0.41,0.307,0.251
"    16 to 19 years","oregon",2014,197652,0.386,0.293,0.242
"    16 to 19 years","oregon",2015,199136,0.398,0.307,0.228
"    16 to 19 years","oregon",2016,204169,0.401,0.322,0.197
"    16 to 19 years","oregon",2017,206354,0.384,0.322,0.163
"        16 to 19 years","oregon",2018,200336,0.441,0.356,0.19
"        16 to 19 years","oregon",2019,197390,0.403,0.323,0.192
