"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    16 to 19 years","pennsylvania",2010,742444,0.41,0.299,0.272
"    16 to 19 years","pennsylvania",2011,730158,0.404,0.302,0.251
"    16 to 19 years","pennsylvania",2012,720700,0.403,0.302,0.248
"    16 to 19 years","pennsylvania",2013,690506,0.408,0.307,0.245
"    16 to 19 years","pennsylvania",2014,680918,0.404,0.316,0.217
"    16 to 19 years","pennsylvania",2015,683151,0.418,0.337,0.192
"    16 to 19 years","pennsylvania",2016,674609,0.407,0.331,0.187
"    16 to 19 years","pennsylvania",2017,671172,0.414,0.342,0.173
"        16 to 19 years","pennsylvania",2018,663765,0.418,0.353,0.156
"        16 to 19 years","pennsylvania",2019,649829,0.436,0.381,0.123
