"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    16 to 19 years","puerto rico",2010,231369,0.168,0.066,0.607
"    16 to 19 years","puerto rico",2011,230797,0.145,0.062,0.575
"    16 to 19 years","puerto rico",2012,223851,0.146,0.057,0.609
"    16 to 19 years","puerto rico",2013,219406,0.167,0.057,0.657
"    16 to 19 years","puerto rico",2014,209239,0.161,0.052,0.679
"    16 to 19 years","puerto rico",2015,197435,0.149,0.057,0.614
"    16 to 19 years","puerto rico",2016,192751,0.138,0.057,0.59
"    16 to 19 years","puerto rico",2017,190937,0.133,0.069,0.484
"        16 to 19 years","puerto rico",2018,173495,0.141,0.07,0.503
"        16 to 19 years","puerto rico",2019,173135,0.159,0.088,0.444
