"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    16 to 19 years","rhode island",2010,66791,0.394,0.3,0.239
"    16 to 19 years","rhode island",2011,64101,0.481,0.33,0.314
"    16 to 19 years","rhode island",2012,63434,0.44,0.328,0.248
"    16 to 19 years","rhode island",2013,63484,0.421,0.319,0.241
"    16 to 19 years","rhode island",2014,60299,0.424,0.323,0.238
"    16 to 19 years","rhode island",2015,61115,0.413,0.331,0.198
"    16 to 19 years","rhode island",2016,61891,0.409,0.356,0.129
"    16 to 19 years","rhode island",2017,62539,0.428,0.34,0.205
"        16 to 19 years","rhode island",2018,65271,0.394,0.335,0.15
"        16 to 19 years","rhode island",2019,59859,0.472,0.394,0.164
