"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    16 to 19 years","south carolina",2010,269353,0.374,0.232,0.333
"    16 to 19 years","south carolina",2011,265706,0.36,0.221,0.349
"    16 to 19 years","south carolina",2012,263874,0.388,0.239,0.34
"    16 to 19 years","south carolina",2013,263250,0.396,0.263,0.293
"    16 to 19 years","south carolina",2014,263202,0.404,0.288,0.245
"    16 to 19 years","south carolina",2015,266013,0.39,0.291,0.194
"    16 to 19 years","south carolina",2016,271018,0.416,0.308,0.206
"    16 to 19 years","south carolina",2017,276515,0.401,0.296,0.202
"        16 to 19 years","south carolina",2018,280625,0.4,0.312,0.162
"        16 to 19 years","south carolina",2019,273695,0.412,0.329,0.153
