"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    16 to 19 years","south dakota",2010,49513,0.516,0.409,0.2
"    16 to 19 years","south dakota",2011,48081,0.493,0.417,0.155
"    16 to 19 years","south dakota",2012,50028,0.516,0.446,0.129
"    16 to 19 years","south dakota",2013,44648,0.552,0.487,0.116
"    16 to 19 years","south dakota",2014,48631,0.565,0.495,0.121
"    16 to 19 years","south dakota",2015,48588,0.505,0.46,0.086
"    16 to 19 years","south dakota",2016,48171,0.532,0.445,0.163
"    16 to 19 years","south dakota",2017,46568,0.536,0.465,0.117
"        16 to 19 years","south dakota",2018,48542,0.545,0.492,0.095
"        16 to 19 years","south dakota",2019,46396,0.516,0.46,0.104
