"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    16 to 19 years","tennessee",2010,349326,0.381,0.269,0.293
"    16 to 19 years","tennessee",2011,345915,0.388,0.277,0.283
"    16 to 19 years","tennessee",2012,343225,0.384,0.278,0.276
"    16 to 19 years","tennessee",2013,339039,0.398,0.294,0.261
"    16 to 19 years","tennessee",2014,342579,0.401,0.303,0.244
"    16 to 19 years","tennessee",2015,346954,0.411,0.338,0.177
"    16 to 19 years","tennessee",2016,345232,0.409,0.341,0.165
"    16 to 19 years","tennessee",2017,360611,0.411,0.345,0.16
"        16 to 19 years","tennessee",2018,353168,0.418,0.344,0.173
"        16 to 19 years","tennessee",2019,350246,0.44,0.375,0.143
