"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    16 to 19 years","utah",2010,176984,0.492,0.366,0.255
"    16 to 19 years","utah",2011,177098,0.488,0.376,0.23
"    16 to 19 years","utah",2012,176356,0.494,0.393,0.202
"    16 to 19 years","utah",2013,181399,0.484,0.39,0.194
"    16 to 19 years","utah",2014,179036,0.482,0.408,0.151
"    16 to 19 years","utah",2015,187110,0.518,0.455,0.121
"    16 to 19 years","utah",2016,191638,0.532,0.467,0.122
"    16 to 19 years","utah",2017,195119,0.523,0.463,0.114
"        16 to 19 years","utah",2018,196854,0.526,0.474,0.099
"        16 to 19 years","utah",2019,199681,0.556,0.489,0.119
