"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    16 to 19 years","vermont",2010,37562,0.488,0.399,0.183
"    16 to 19 years","vermont",2011,36557,0.431,0.348,0.191
"    16 to 19 years","vermont",2012,38247,0.467,0.388,0.169
"    16 to 19 years","vermont",2013,36577,0.437,0.365,0.166
"    16 to 19 years","vermont",2014,35679,0.383,0.344,0.101
"    16 to 19 years","vermont",2015,36931,0.432,0.385,0.11
"    16 to 19 years","vermont",2016,34217,0.451,0.384,0.148
"    16 to 19 years","vermont",2017,32845,0.453,0.391,0.135
"        16 to 19 years","vermont",2018,35785,0.449,0.4,0.109
"        16 to 19 years","vermont",2019,36472,0.43,0.387,0.095
