"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    16 to 19 years","virginia",2010,462512,0.376,0.254,0.272
"    16 to 19 years","virginia",2011,447064,0.376,0.275,0.251
"    16 to 19 years","virginia",2012,453014,0.365,0.258,0.268
"    16 to 19 years","virginia",2013,445474,0.391,0.3,0.21
"    16 to 19 years","virginia",2014,450675,0.384,0.289,0.211
"    16 to 19 years","virginia",2015,444226,0.381,0.306,0.17
"    16 to 19 years","virginia",2016,462907,0.393,0.308,0.182
"    16 to 19 years","virginia",2017,444640,0.389,0.312,0.169
"        16 to 19 years","virginia",2018,456190,0.402,0.328,0.151
"        16 to 19 years","virginia",2019,448646,0.44,0.356,0.152
