"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    16 to 19 years","washington",2010,368121,0.367,0.256,0.291
"    16 to 19 years","washington",2011,367781,0.361,0.243,0.316
"    16 to 19 years","washington",2012,356338,0.377,0.264,0.288
"    16 to 19 years","washington",2013,350507,0.346,0.256,0.256
"    16 to 19 years","washington",2014,353922,0.365,0.274,0.238
"    16 to 19 years","washington",2015,363769,0.375,0.299,0.194
"    16 to 19 years","washington",2016,363026,0.383,0.307,0.193
"    16 to 19 years","washington",2017,356645,0.396,0.321,0.183
"        16 to 19 years","washington",2018,362587,0.394,0.321,0.173
"        16 to 19 years","washington",2019,362298,0.412,0.332,0.184
