"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    16 to 19 years","west virginia",2010,100862,0.341,0.239,0.298
"    16 to 19 years","west virginia",2011,96986,0.348,0.253,0.273
"    16 to 19 years","west virginia",2012,89574,0.341,0.247,0.277
"    16 to 19 years","west virginia",2013,92055,0.374,0.265,0.291
"    16 to 19 years","west virginia",2014,91827,0.329,0.266,0.191
"    16 to 19 years","west virginia",2015,91170,0.347,0.271,0.22
"    16 to 19 years","west virginia",2016,92182,0.344,0.263,0.235
"    16 to 19 years","west virginia",2017,94167,0.339,0.258,0.237
"        16 to 19 years","west virginia",2018,92929,0.343,0.271,0.21
"        16 to 19 years","west virginia",2019,89266,0.354,0.295,0.166
