"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    16 to 19 years","wisconsin",2010,324712,0.489,0.39,0.203
"    16 to 19 years","wisconsin",2011,324962,0.47,0.379,0.193
"    16 to 19 years","wisconsin",2012,319793,0.498,0.395,0.207
"    16 to 19 years","wisconsin",2013,308817,0.507,0.431,0.15
"    16 to 19 years","wisconsin",2014,306167,0.504,0.437,0.132
"    16 to 19 years","wisconsin",2015,302093,0.515,0.458,0.111
"    16 to 19 years","wisconsin",2016,308780,0.529,0.47,0.112
"    16 to 19 years","wisconsin",2017,302755,0.523,0.474,0.092
"        16 to 19 years","wisconsin",2018,306669,0.519,0.47,0.092
"        16 to 19 years","wisconsin",2019,305564,0.525,0.472,0.1
