"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    20 to 24 years","alabama",2010,339513,0.722,0.575,0.197
"    20 to 24 years","alabama",2011,343410,0.708,0.559,0.199
"    20 to 24 years","alabama",2012,344634,0.729,0.594,0.179
"    20 to 24 years","alabama",2013,355257,0.711,0.567,0.192
"    20 to 24 years","alabama",2014,345575,0.721,0.598,0.167
"    20 to 24 years","alabama",2015,332728,0.708,0.607,0.135
"    20 to 24 years","alabama",2016,325722,0.717,0.626,0.118
"    20 to 24 years","alabama",2017,326341,0.71,0.63,0.104
"        20 to 24 years","alabama",2018,317810,0.699,0.615,0.108
"        20 to 24 years","alabama",2019,317739,0.715,0.642,0.092
