"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    20 to 24 years","alaska",2010,55974,0.797,0.549,0.172
"    20 to 24 years","alaska",2011,58754,0.82,0.615,0.144
"    20 to 24 years","alaska",2012,59762,0.819,0.64,0.128
"    20 to 24 years","alaska",2013,60748,0.805,0.621,0.137
"    20 to 24 years","alaska",2014,63579,0.82,0.64,0.106
"    20 to 24 years","alaska",2015,62719,0.837,0.629,0.127
"    20 to 24 years","alaska",2016,56890,0.823,0.591,0.172
"    20 to 24 years","alaska",2017,54320,0.811,0.587,0.146
"        20 to 24 years","alaska",2018,49107,0.798,0.586,0.128
"        20 to 24 years","alaska",2019,47636,0.785,0.6,0.104
