"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    20 to 24 years","arizona",2010,445055,0.731,0.591,0.176
"    20 to 24 years","arizona",2011,462544,0.721,0.581,0.181
"    20 to 24 years","arizona",2012,472625,0.733,0.609,0.154
"    20 to 24 years","arizona",2013,482349,0.729,0.609,0.151
"    20 to 24 years","arizona",2014,488122,0.735,0.638,0.118
"    20 to 24 years","arizona",2015,480228,0.744,0.653,0.11
"    20 to 24 years","arizona",2016,477884,0.773,0.679,0.107
"    20 to 24 years","arizona",2017,475452,0.761,0.683,0.09
"        20 to 24 years","arizona",2018,489653,0.758,0.679,0.087
"        20 to 24 years","arizona",2019,490999,0.781,0.701,0.08
