"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    20 to 24 years","arkansas",2010,199923,0.735,0.592,0.187
"    20 to 24 years","arkansas",2011,202693,0.746,0.629,0.146
"    20 to 24 years","arkansas",2012,206459,0.701,0.592,0.151
"    20 to 24 years","arkansas",2013,206244,0.728,0.616,0.15
"    20 to 24 years","arkansas",2014,208607,0.725,0.638,0.111
"    20 to 24 years","arkansas",2015,200167,0.728,0.645,0.108
"    20 to 24 years","arkansas",2016,195409,0.712,0.642,0.091
"    20 to 24 years","arkansas",2017,200226,0.733,0.653,0.104
"        20 to 24 years","arkansas",2018,199748,0.719,0.665,0.071
"        20 to 24 years","arkansas",2019,197910,0.729,0.654,0.096
