"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    20 to 24 years","california",2010,2782635,0.712,0.562,0.19
"    20 to 24 years","california",2011,2867055,0.711,0.559,0.194
"    20 to 24 years","california",2012,2917394,0.712,0.565,0.186
"    20 to 24 years","california",2013,2921839,0.711,0.58,0.163
"    20 to 24 years","california",2014,2915821,0.708,0.593,0.143
"    20 to 24 years","california",2015,2884717,0.71,0.605,0.128
"    20 to 24 years","california",2016,2807120,0.716,0.621,0.112
"    20 to 24 years","california",2017,2761097,0.72,0.629,0.106
"        20 to 24 years","california",2018,2710448,0.725,0.638,0.1
"        20 to 24 years","california",2019,2638791,0.727,0.643,0.092
