"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    20 to 24 years","colorado",2010,350189,0.795,0.658,0.146
"    20 to 24 years","colorado",2011,360701,0.79,0.65,0.146
"    20 to 24 years","colorado",2012,365321,0.786,0.665,0.121
"    20 to 24 years","colorado",2013,368474,0.79,0.661,0.126
"    20 to 24 years","colorado",2014,384832,0.801,0.702,0.096
"    20 to 24 years","colorado",2015,382373,0.792,0.702,0.081
"    20 to 24 years","colorado",2016,390411,0.806,0.702,0.086
"    20 to 24 years","colorado",2017,374927,0.809,0.729,0.068
"        20 to 24 years","colorado",2018,374122,0.82,0.742,0.063
"        20 to 24 years","colorado",2019,380338,0.812,0.738,0.057
