"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    20 to 24 years","connecticut",2010,227944,0.782,0.646,0.162
"    20 to 24 years","connecticut",2011,226583,0.76,0.613,0.178
"    20 to 24 years","connecticut",2012,230395,0.763,0.629,0.164
"    20 to 24 years","connecticut",2013,237422,0.761,0.632,0.158
"    20 to 24 years","connecticut",2014,244199,0.777,0.662,0.133
"    20 to 24 years","connecticut",2015,246827,0.759,0.676,0.099
"    20 to 24 years","connecticut",2016,249473,0.773,0.689,0.095
"    20 to 24 years","connecticut",2017,248726,0.742,0.648,0.116
"        20 to 24 years","connecticut",2018,239846,0.742,0.66,0.098
"        20 to 24 years","connecticut",2019,239939,0.774,0.686,0.097
