"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    20 to 24 years","florida",2010,1247729,0.726,0.574,0.195
"    20 to 24 years","florida",2011,1283366,0.716,0.57,0.192
"    20 to 24 years","florida",2012,1319637,0.725,0.584,0.182
"    20 to 24 years","florida",2013,1303343,0.729,0.601,0.163
"    20 to 24 years","florida",2014,1307594,0.72,0.613,0.133
"    20 to 24 years","florida",2015,1284335,0.723,0.631,0.116
"    20 to 24 years","florida",2016,1266856,0.737,0.649,0.103
"    20 to 24 years","florida",2017,1265944,0.741,0.66,0.095
"        20 to 24 years","florida",2018,1255590,0.736,0.659,0.09
"        20 to 24 years","florida",2019,1266383,0.754,0.677,0.082
