"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    20 to 24 years","georgia",2010,682711,0.705,0.544,0.206
"    20 to 24 years","georgia",2011,704463,0.686,0.527,0.208
"    20 to 24 years","georgia",2012,715609,0.695,0.539,0.197
"    20 to 24 years","georgia",2013,725652,0.707,0.561,0.187
"    20 to 24 years","georgia",2014,726404,0.707,0.575,0.165
"    20 to 24 years","georgia",2015,728645,0.708,0.599,0.132
"    20 to 24 years","georgia",2016,711091,0.727,0.628,0.109
"    20 to 24 years","georgia",2017,709976,0.745,0.648,0.106
"        20 to 24 years","georgia",2018,719378,0.732,0.652,0.084
"        20 to 24 years","georgia",2019,714400,0.735,0.647,0.093
