"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    20 to 24 years","hawaii",2010,98086,0.794,0.582,0.144
"    20 to 24 years","hawaii",2011,98552,0.756,0.55,0.134
"    20 to 24 years","hawaii",2012,103126,0.771,0.57,0.121
"    20 to 24 years","hawaii",2013,105126,0.746,0.565,0.087
"    20 to 24 years","hawaii",2014,104188,0.771,0.57,0.103
"    20 to 24 years","hawaii",2015,104485,0.785,0.586,0.096
"    20 to 24 years","hawaii",2016,99039,0.798,0.617,0.083
"    20 to 24 years","hawaii",2017,93432,0.831,0.618,0.094
"        20 to 24 years","hawaii",2018,90595,0.817,0.61,0.087
"        20 to 24 years","hawaii",2019,89100,0.808,0.592,0.053
