"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    20 to 24 years","idaho",2010,107625,0.754,0.663,0.113
"    20 to 24 years","idaho",2011,110800,0.747,0.613,0.174
"    20 to 24 years","idaho",2012,112941,0.773,0.663,0.134
"    20 to 24 years","idaho",2013,114432,0.766,0.658,0.131
"    20 to 24 years","idaho",2014,110473,0.776,0.706,0.083
"    20 to 24 years","idaho",2015,111102,0.752,0.682,0.079
"    20 to 24 years","idaho",2016,112037,0.789,0.71,0.093
"    20 to 24 years","idaho",2017,111271,0.784,0.693,0.099
"        20 to 24 years","idaho",2018,115850,0.772,0.706,0.075
"        20 to 24 years","idaho",2019,120062,0.815,0.776,0.04
