"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    20 to 24 years","illinois",2010,874934,0.742,0.616,0.167
"    20 to 24 years","illinois",2011,881738,0.746,0.611,0.174
"    20 to 24 years","illinois",2012,892527,0.752,0.622,0.165
"    20 to 24 years","illinois",2013,909336,0.763,0.639,0.157
"    20 to 24 years","illinois",2014,902267,0.758,0.648,0.138
"    20 to 24 years","illinois",2015,893861,0.756,0.656,0.126
"    20 to 24 years","illinois",2016,874074,0.769,0.68,0.11
"    20 to 24 years","illinois",2017,860547,0.753,0.66,0.118
"        20 to 24 years","illinois",2018,839026,0.763,0.68,0.102
"        20 to 24 years","illinois",2019,829093,0.759,0.687,0.087
