"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    20 to 24 years","indiana",2010,456085,0.722,0.606,0.16
"    20 to 24 years","indiana",2011,465747,0.716,0.597,0.166
"    20 to 24 years","indiana",2012,477523,0.746,0.629,0.156
"    20 to 24 years","indiana",2013,483455,0.738,0.641,0.13
"    20 to 24 years","indiana",2014,477978,0.757,0.665,0.122
"    20 to 24 years","indiana",2015,484815,0.755,0.68,0.099
"    20 to 24 years","indiana",2016,474303,0.776,0.71,0.084
"    20 to 24 years","indiana",2017,465634,0.754,0.693,0.081
"        20 to 24 years","indiana",2018,465439,0.772,0.716,0.071
"        20 to 24 years","indiana",2019,467839,0.771,0.706,0.081
