"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    20 to 24 years","iowa",2010,210283,0.824,0.726,0.119
"    20 to 24 years","iowa",2011,216890,0.813,0.731,0.1
"    20 to 24 years","iowa",2012,224662,0.797,0.72,0.095
"    20 to 24 years","iowa",2013,226596,0.815,0.756,0.072
"    20 to 24 years","iowa",2014,222766,0.825,0.754,0.086
"    20 to 24 years","iowa",2015,223189,0.8,0.743,0.071
"    20 to 24 years","iowa",2016,222918,0.824,0.776,0.058
"    20 to 24 years","iowa",2017,224486,0.793,0.743,0.061
"        20 to 24 years","iowa",2018,220135,0.805,0.747,0.069
"        20 to 24 years","iowa",2019,217206,0.815,0.762,0.063
