"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    20 to 24 years","kansas",2010,202983,0.799,0.699,0.115
"    20 to 24 years","kansas",2011,208899,0.785,0.67,0.123
"    20 to 24 years","kansas",2012,210255,0.775,0.672,0.099
"    20 to 24 years","kansas",2013,212521,0.775,0.684,0.086
"    20 to 24 years","kansas",2014,213492,0.768,0.689,0.078
"    20 to 24 years","kansas",2015,215836,0.768,0.678,0.084
"    20 to 24 years","kansas",2016,212842,0.802,0.721,0.078
"    20 to 24 years","kansas",2017,211701,0.797,0.703,0.084
"        20 to 24 years","kansas",2018,209009,0.825,0.737,0.067
"        20 to 24 years","kansas",2019,212867,0.804,0.719,0.069
