"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    20 to 24 years","kentucky",2010,294270,0.758,0.595,0.178
"    20 to 24 years","kentucky",2011,297089,0.745,0.603,0.17
"    20 to 24 years","kentucky",2012,306162,0.737,0.6,0.16
"    20 to 24 years","kentucky",2013,305234,0.764,0.648,0.137
"    20 to 24 years","kentucky",2014,309746,0.771,0.653,0.134
"    20 to 24 years","kentucky",2015,303059,0.773,0.684,0.096
"    20 to 24 years","kentucky",2016,298556,0.758,0.671,0.094
"    20 to 24 years","kentucky",2017,292399,0.764,0.668,0.104
"        20 to 24 years","kentucky",2018,300744,0.763,0.684,0.085
"        20 to 24 years","kentucky",2019,294084,0.78,0.695,0.094
