"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    20 to 24 years","louisiana",2010,342327,0.711,0.576,0.173
"    20 to 24 years","louisiana",2011,346456,0.725,0.594,0.165
"    20 to 24 years","louisiana",2012,342058,0.703,0.589,0.15
"    20 to 24 years","louisiana",2013,351199,0.7,0.567,0.172
"    20 to 24 years","louisiana",2014,346633,0.709,0.603,0.138
"    20 to 24 years","louisiana",2015,333842,0.715,0.611,0.127
"    20 to 24 years","louisiana",2016,320789,0.705,0.607,0.12
"    20 to 24 years","louisiana",2017,318320,0.692,0.592,0.126
"        20 to 24 years","louisiana",2018,308893,0.687,0.597,0.113
"        20 to 24 years","louisiana",2019,298660,0.732,0.65,0.086
