"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    20 to 24 years","maine",2010,80895,0.793,0.679,0.138
"    20 to 24 years","maine",2011,78783,0.779,0.665,0.144
"    20 to 24 years","maine",2012,79291,0.827,0.703,0.146
"    20 to 24 years","maine",2013,80184,0.791,0.697,0.115
"    20 to 24 years","maine",2014,78550,0.804,0.705,0.116
"    20 to 24 years","maine",2015,78924,0.803,0.739,0.078
"    20 to 24 years","maine",2016,75065,0.78,0.706,0.088
"    20 to 24 years","maine",2017,74270,0.78,0.721,0.071
"        20 to 24 years","maine",2018,73878,0.817,0.781,0.042
"        20 to 24 years","maine",2019,74294,0.815,0.759,0.064
