"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    20 to 24 years","maryland",2010,392262,0.768,0.634,0.156
"    20 to 24 years","maryland",2011,399152,0.772,0.631,0.165
"    20 to 24 years","maryland",2012,407055,0.749,0.617,0.158
"    20 to 24 years","maryland",2013,404550,0.754,0.634,0.138
"    20 to 24 years","maryland",2014,404728,0.747,0.629,0.14
"    20 to 24 years","maryland",2015,400385,0.748,0.65,0.11
"    20 to 24 years","maryland",2016,394489,0.753,0.65,0.113
"    20 to 24 years","maryland",2017,387050,0.75,0.657,0.104
"        20 to 24 years","maryland",2018,384168,0.759,0.66,0.106
"        20 to 24 years","maryland",2019,372016,0.778,0.687,0.092
